Received Timestamp (ns),Sent Timestamp (ns),Difference (ns)
1730382030526241000,1730382029195709301,1330531699
1730382030536749400,1730382029205819177,1330930223
1730382030546165700,1730382029215929696,1330236004
1730382030556227600,1730382029226039664,1330187936
1730382030566391900,1730382029236149926,1330241974
1730382030577107900,1730382029246261454,1330846446
1730382030587132000,1730382029256373429,1330758571
1730382030596872400,1730382029266483141,1330389259
1730382030607381100,1730382029276593390,1330787710
1730382030616765900,1730382029286705267,1330060633
1730382030627829700,1730382029296814584,1331015116
1730382030637816000,1730382029306924505,1330891495
1730382030647715000,1730382029317035003,1330679997
1730382030658115700,1730382029327144379,1330971321
1730382030668187000,1730382029337255089,1330931911
1730382030678111300,1730382029347365795,1330745505
1730382030688229600,1730382029357479306,1330750294
1730382030698070600,1730382029367619621,1330450979
1730382030708513700,1730382029377730365,1330783335
1730382030718286900,1730382029387840658,1330446242
1730382030727858200,1730382029397951077,1329907123
1730382030738834800,1730382029408062629,1330772171
1730382030747840300,1730382029418173086,1329667214
1730382030758427000,1730382029428289487,1330137513
1730382030769131000,1730382029438417111,1330713889
1730382030779279800,1730382029448564878,1330714922
1730382030789238500,1730382029458678821,1330559679
1730382030799100200,1730382029468793194,1330307006
1730382030809103000,1730382029478914540,1330188460
1730382030819730600,1730382029489038237,1330692363
1730382030829713200,1730382029499149135,1330564065
1730382030840194700,1730382029509260523,1330934177
1730382030849542500,1730382029519372097,1330170403
1730382030860225300,1730382029529482782,1330742518
1730382030870566400,1730382029539592389,1330974011
1730382030880258600,1730382029549703001,1330555599
1730382030890242600,1730382029559813084,1330429516
1730382030900850500,1730382029569924851,1330925649
1730382030910621600,1730382029580035845,1330585755
1730382030921001900,1730382029590145747,1330856153
1730382030930818300,1730382029600255673,1330562627
1730382030941342400,1730382029610376011,1330966389
1730382030951310200,1730382029620487579,1330822621
1730382030961204400,1730382029630605601,1330598799
1730382030971132900,1730382029640719289,1330413611
1730382030981518100,1730382029650830121,1330687979
1730382030991307000,1730382029660940687,1330366313
1730382031001677900,1730382029671052188,1330625712
1730382031011718700,1730382029681173130,1330545570
1730382031021616200,1730382029691283365,1330332835
1730382031031732500,1730382029701393133,1330339367
1730382031042136900,1730382029711503497,1330633403
1730382031052064400,1730382029721613412,1330450988
1730382031062161400,1730382029731724186,1330437214
1730382031072263300,1730382029741834564,1330428736
1730382031082591300,1730382029751944861,1330646439
1730382031092984900,1730382029762054435,1330930465
1730382031102980500,1730382029772164545,1330815955
1730382031112763400,1730382029782274454,1330488946
1730382031122766500,1730382029792385223,1330381277
1730382031132920500,1730382029802495868,1330424632
1730382031142930800,1730382029812606232,1330324568
1730382031153253700,1730382029822717281,1330536419
1730382031163077800,1730382029832828719,1330249081
1730382031173251000,1730382029842940739,1330310261
1730382031182935800,1730382029853051058,1329884742
1730382031193561600,1730382029863161178,1330400422
1730382031203593800,1730382029873271105,1330322695
1730382031213281700,1730382029883380786,1329900914
1730382031223624600,1730382029893490085,1330134515
1730382031234137100,1730382029903600562,1330536538
1730382031244240900,1730382029913711039,1330529861
1730382031254407500,1730382029923822195,1330585305
1730382031264405600,1730382029933933136,1330472464
1730382031274401200,1730382029944042946,1330358254
1730382031284398500,1730382029954152748,1330245752
1730382031294396300,1730382029964262505,1330133795
1730382031304390000,1730382029974380046,1330009954
1730382031314394700,1730382029984490227,1329904473
1730382031325121500,1730382029994599456,1330522044
1730382031335950800,1730382030004710425,1331240375
1730382031345400200,1730382030014820519,1330579681
1730382031355500100,1730382030024930600,1330569500
